name,team,type
Aston Villa,Aston Villa,Goalkeeper
Aston Villa,Aston Villa,Defence
Conor Hourihane,Aston Villa,Midfielder
Albert Adomah,Aston Villa,Midfielder
John McGinn,Aston Villa,Midfielder
Jack Grealish,Aston Villa,Midfielder
Anwar El-Ghazi,Aston Villa,Midfielder
Tammy Abraham,Aston Villa,Forward
Derby County,Derby County,Goalkeeper
Derby County,Derby County,Defence
Tom Huddlestone,Derby County,Midfielder
Bradley Johnson,Derby County,Midfielder
Tom Lawrence,Derby County,Midfielder
Mason Mount,Derby County,Midfielder
Harry Wilson,Derby County,Midfielder
Mason Bennett,Derby County,Forward
